time,G(i) (Globalstrahlung),H_sun (Sonnenscheindauer in min),T2m (Temperatur),WS10m (Windgeschwindigkeit)
20220101:0010,0.0,0.0,11.92,3.24
20220101:0110,0.0,0.0,11.73,2.9
20220101:0210,0.0,0.0,11.74,2.62
20220101:0310,0.0,0.0,11.44,2.48
20220101:0410,0.0,0.0,11.3,2.41
20220101:0510,0.0,0.0,11.2,2.55
20220101:0610,0.0,0.0,11.01,2.34
20220101:0710,0.0,0.0,10.53,2.07
20220101:0810,10.07,3.45,10.21,2.21
20220101:0910,119.42,9.48,10.49,2.21
20220101:1010,319.89,13.73,11.34,2.07
20220101:1110,441.62,15.85,11.97,2.34
20220101:1210,517.32,15.64,12.6,2.97
20220101:1310,441.99,13.12,12.77,3.17
20220101:1410,118.89,8.53,12.6,3.03
20220101:1510,3.66,2.22,11.77,2.97
20220101:1610,0.0,0.0,11.12,3.1
20220101:1710,0.0,0.0,10.58,3.17
20220101:1810,0.0,0.0,10.5,3.31
20220101:1910,0.0,0.0,9.69,3.24
20220101:2010,0.0,0.0,9.64,3.31
20220101:2110,0.0,0.0,9.59,3.52
20220101:2210,0.0,0.0,9.76,3.52
20220101:2310,0.0,0.0,9.45,3.24
20220102:0010,0.0,0.0,9.47,2.97
20220102:0110,0.0,0.0,9.65,2.83
20220102:0210,0.0,0.0,10.0,2.48
20220102:0310,0.0,0.0,10.31,2.41
20220102:0410,0.0,0.0,10.66,2.48
20220102:0510,0.0,0.0,10.62,2.9
20220102:0610,0.0,0.0,10.07,3.24
20220102:0710,0.0,0.0,9.41,3.72
20220102:0810,6.41,3.48,9.57,4.55
20220102:0910,28.39,9.52,10.17,4.76
20220102:1010,18.31,13.79,11.0,5.03
20220102:1110,400.49,15.93,11.29,4.97
20220102:1210,47.62,15.74,12.31,5.24
20220102:1310,19.23,13.23,12.78,5.59
20220102:1410,13.74,8.65,12.66,6.21
20220102:1510,1.83,2.35,12.2,5.17
20220102:1610,0.0,0.0,11.52,4.48
20220102:1710,0.0,0.0,11.02,4.48
20220102:1810,0.0,0.0,10.75,4.48
20220102:1910,0.0,0.0,10.33,4.34
20220102:2010,0.0,0.0,10.18,5.45
20220102:2110,0.0,0.0,10.9,7.45
20220102:2210,0.0,0.0,10.27,8.14
20220102:2310,0.0,0.0,9.77,7.59
20220103:0010,0.0,0.0,9.35,7.24
20220103:0110,0.0,0.0,9.18,6.83
20220103:0210,0.0,0.0,8.75,6.69
20220103:0310,0.0,0.0,8.9,6.48
20220103:0410,0.0,0.0,8.67,6.0
20220103:0510,0.0,0.0,8.44,5.86
20220103:0610,0.0,0.0,8.41,5.86
20220103:0710,0.0,0.0,8.72,5.03
20220103:0810,33.85,3.51,8.75,5.24
20220103:0910,130.5,9.57,8.96,5.1
20220103:1010,247.11,13.86,9.53,5.79
20220103:1110,316.95,16.02,9.96,5.93
20220103:1210,169.37,15.84,10.01,5.93
20220103:1310,69.64,13.35,9.65,5.66
20220103:1410,21.98,8.77,9.05,5.45
20220103:1510,1.83,2.48,8.67,4.97
20220103:1610,0.0,0.0,8.64,4.14
20220103:1710,0.0,0.0,8.66,3.72
20220103:1810,0.0,0.0,8.82,3.86
20220103:1910,0.0,0.0,8.61,3.45
20220103:2010,0.0,0.0,8.85,3.38
20220103:2110,0.0,0.0,8.92,2.97
20220103:2210,0.0,0.0,8.75,2.83
20220103:2310,0.0,0.0,8.62,2.55
20220104:0010,0.0,0.0,8.41,2.14
20220104:0110,0.0,0.0,8.14,1.79
20220104:0210,0.0,0.0,7.95,1.66
20220104:0310,0.0,0.0,7.7,1.24
20220104:0410,0.0,0.0,7.5,0.97
20220104:0510,0.0,0.0,7.38,1.31
20220104:0610,0.0,0.0,7.2,1.24
20220104:0710,0.0,0.0,6.56,1.03
20220104:0810,8.24,3.55,6.45,0.9
20220104:0910,42.12,9.63,6.64,1.31
20220104:1010,75.13,13.93,6.96,1.93
20220104:1110,81.23,16.11,7.23,2.48
20220104:1210,68.68,15.95,7.36,2.9
20220104:1310,59.52,13.47,7.78,3.31
20220104:1410,62.62,8.91,7.59,4.07
20220104:1510,2.75,2.62,7.41,4.21
