cluster,probability,month,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
0,0.182,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.12807096322193,209.2138175571847,573.8858569831499,130.6269974298653,150.30901088614073,200.22318830162502,176.53953099495973,81.22708059665622,0.02739844915315038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.059,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.39729098366705,182.40771802679282,222.27843467202342,620.64884316094,651.2147752749565,271.99650440383647,182.20675280720576,80.639088321022,0.040041088743824935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.163,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.26632900101588,179.14027961739993,189.2813061929369,102.77556459826133,653.264840297754,183.25664732797028,158.92081340672513,66.86387136392857,1.0408340855860843e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.407,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.20882656402428,170.00580028875376,103.8013961395373,121.41843464765464,122.17704204921053,213.97589568437888,161.8025081893259,70.45479535950528,0.021228232351849997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.189,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.9099081489866,162.4004060517494,206.44391518740147,635.6569808575366,126.4628357732236,191.00096027232138,172.6221505255439,84.92060390242435,0.0368291364295452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.189,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.930612963432544,176.47623847949114,312.4601654210408,339.44274754006716,176.26339619669722,812.5580564862637,293.4696602733834,278.0577720501901,154.48911889435513,55.60003078109402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.208,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.332385882326584,207.34118753523404,296.08328745554235,137.12577650893394,799.4015505828262,300.38904188894094,340.5063686366006,274.0818587571302,175.6390335038913,45.68925752633587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.117,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.96162616319989,180.4567285847495,281.2357830568171,722.0622150610661,791.717967837293,356.46947600647144,351.05546061340743,242.11130486102607,165.10313049483477,57.11621906178501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.158,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.106995346807835,176.72345196533828,250.5594500673284,697.4539964186048,147.59440159493445,152.04024398192288,397.9615929408,272.89465432462214,192.51880352831853,52.387514030099105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.328,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.60346592606232,175.51498745466037,280.24547093970716,141.34500720108514,154.71311894667065,158.96109247311907,349.79574160665965,257.58270810891577,174.2677338382972,53.305675084193375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.187,3,0.0,0.0,0.0,0.0,0.0,0.0,26.23369716469428,154.42423401323205,288.53070828713277,384.412639733723,556.9354481048729,925.059119178162,215.77706387599514,690.7222340119843,362.9486782313061,250.79939949237908,152.56343297430183,20.64678185831983,0.0,0.0,0.0,0.0,0.0,0.0
1,0.198,3,0.0,0.0,0.0,0.0,0.0,0.0,31.11174328776017,156.11938648444965,312.749092516228,437.6262462606495,196.44381077749586,585.0655693315966,233.12169828894042,173.12182437350282,386.70403910474045,282.812097126219,140.76476418960127,19.670794190870506,0.0,0.0,0.0,0.0,0.0,0.0
